Address,Area,Year,Rooms,Price,Elevator,Parking,Warehouse
پونک,97,1397,2,98.969,1,1,0
ظفر,65,1401,1,107.692,1,1,0
ظفر,150,1400,3,115.0,1,1,1
میرداماد,152,1385,3,85.526,1,1,1
آجودانیه,232,1388,3,116.379,1,1,1
شیان,117,1387,2,78.632,1,1,1
شهران جنوبی,113,1388,2,69.911,1,1,1
لویزان,132,1393,2,55.53,1,1,1
اختیاریه,149,1398,3,93.959,1,1,1
قبا,130,1397,3,120.123,1,1,1
دروس,90,1401,2,124.444,1,1,1
قیطریه,146,1382,3,83.561,1,1,1
قلهک,112,1396,3,100.446,1,1,1
پاسداران,90,1401,2,113.333,1,1,1
پاسداران,130,1401,3,115.2,1,1,1
قلهک,130,1380,3,87.692,1,1,1
قبا,130,1395,3,110.0,1,1,1
لویزان,125,1401,3,77.6,1,1,1
لویزان,80,1400,2,78.75,1,1,1
سعادت‌آباد,117,1401,2,146.581,1,1,1
نواب,82,1398,2,31.707,1,1,1
فرمانیه,171,1398,3,115.029,1,1,1
دریاچه شهدای خلیج فارس,130,1401,3,13.5,1,1,1
ابوذر (منطقه ۱۵),83,1394,2,51.807,1,1,1
مهرآباد جنوبی,55,1389,1,43.09,0,1,1
ظفر,86,1401,2,120.0,1,1,1
هروی,238,1401,3,100.0,1,1,1
ازگل,188,1401,3,85.106,1,1,1
دریاچه شهدای خلیج فارس,77,1395,2,51.948,0,1,1
چیتگر,50,1401,2,21.8,1,1,1
پاسداران,202,1400,3,121.287,1,1,1
اختیاریه,174,1390,3,95.977,1,1,1
اختیاریه,230,1401,3,173.913,1,1,1
میرداماد,130,1385,3,84.615,1,1,1
میرداماد,230,1380,3,78.26,1,1,1
میرداماد,147,1396,3,115.646,1,1,1
میرداماد,150,1383,3,91.666,1,1,1
میرداماد,130,1401,3,143.846,1,1,1
اختیاریه,193,1401,3,92.232,1,1,1
تهرانپارس غربی,80,1401,2,69.375,1,1,1
تهرانپارس شرقی,62,1376,2,56.451,0,0,1
استخر,85,1400,2,55.882,1,0,0
میرداماد,160,1384,3,84.062,1,1,1
زعفرانیه,150,1395,3,196.666,1,1,1
